RM,DIS,TAX
6.826,4.8628,254
6.482,4.1403,254
6.812,4.1007,216
7.82,4.6947,216
6.968,5.2447,216
7.645,5.2119,216
7.923,5.885,198
7.088,7.3073,285
6.453,7.3073,300
6.23,9.0892,241
6.209,7.3172,293
6.315,7.3172,293
6.565,7.3172,293
6.861,5.1167,245
7.148,5.1167,245
6.63,5.1167,245
6.127,5.5027,289
6.009,5.5027,289
6.678,5.9604,289
6.549,5.9604,289
5.79,6.32,289
6.345,7.8278,358
7.041,7.8278,358
6.871,7.8278,358
6.59,5.4917,329
6.495,5.4917,329
6.982,5.4917,329
7.236,4.022,222
6.616,3.37,222
7.42,3.0992,222
6.849,3.1827,222
6.635,3.3175,304
5.972,3.1025,304
4.973,2.5194,304
6.122,2.6403,304
6.023,2.834,304
6.266,3.2628,304
6.567,3.6023,304
5.705,3.945,304
5.914,3.9986,304
5.782,4.0317,304
6.382,3.5325,304
6.113,4.0019,304
6.426,4.5404,287
6.376,4.5404,287
6.041,4.7211,287
5.708,4.7211,287
6.415,4.7211,287
6.431,5.4159,287
6.312,5.4159,287
6.083,5.4159,287
5.868,5.2146,430
6.333,5.2146,430
6.144,5.8736,430
5.706,6.6407,304
6.031,6.6407,304
6.316,6.4584,224
6.31,6.4584,224
6.037,5.9853,224
5.869,5.2311,224
5.895,5.615,224
6.059,4.8122,224
5.985,4.8122,224
5.968,4.8122,224
7.241,7.0379,284
6.54,6.2669,422
6.696,5.7321,370
6.874,6.4654,370
6.014,8.0136,352
5.898,8.0136,352
6.516,8.5353,351
6.635,8.344,280
6.939,8.7921,335
6.49,8.7921,335
6.579,10.7103,411
5.884,10.7103,411
6.728,12.1265,187
5.663,10.5857,334
5.936,10.5857,334
6.212,2.1222,666
6.395,2.5052,666
6.127,2.7227,666
6.112,2.5091,666
6.398,2.5182,666
6.251,2.2955,666
5.362,2.1036,666
5.803,1.9047,666
8.78,1.9047,666
3.561,1.6132,666
4.963,1.7523,666
3.863,1.5106,666
4.97,1.3325,666
6.683,1.3567,666
7.016,1.2024,666
6.216,1.1691,666
5.875,1.1296,666
4.906,1.1742,666
4.138,1.137,666
7.313,1.3163,666
6.649,1.3449,666
6.794,1.358,666
6.38,1.3861,666
6.223,1.3861,666
6.968,1.4165,666
6.545,1.5192,666
5.536,1.5804,666
5.52,1.5331,666
4.368,1.4395,666
5.277,1.4261,666
4.652,1.4672,666
5,1.5184,666
4.88,1.5895,666
5.39,1.7281,666
5.713,1.9265,666
6.051,2.1678,666
5.036,1.77,666
6.193,1.7912,666
5.887,1.7821,666
6.471,1.7257,666
6.405,1.6768,666
5.747,1.6334,666
5.453,1.4896,666
5.852,1.5004,666
5.987,1.5888,666
6.343,1.5741,666
6.404,1.639,666
5.349,1.7028,666
5.531,1.6074,666
5.683,1.4254,666
4.138,1.1781,666
5.608,1.2852,666
5.617,1.4547,666
6.852,1.4655,666
5.757,1.413,666
6.657,1.5275,666
4.628,1.5539,666
5.155,1.5894,666
4.519,1.6582,666
6.434,1.8347,666
6.782,1.8195,666
5.304,1.6475,666
5.957,1.8026,666
6.824,1.794,666
6.411,1.8589,666
6.006,1.8746,666
5.648,1.9512,666
6.103,2.0218,666
5.565,2.0635,666
5.896,1.9096,666
5.837,1.9976,666
6.202,1.8629,666
6.193,1.9356,666
6.38,1.9682,666
6.348,2.0527,666
6.833,2.0882,666
6.425,2.2004,666
6.436,2.3158,666
6.208,2.2222,666
6.629,2.1247,666
6.461,2.0026,666
6.152,1.9142,666
5.935,1.8206,666
5.627,1.8172,666
5.818,1.8662,666
6.406,2.0651,666
6.219,2.0048,666
6.485,1.9784,666
5.854,1.8956,666
6.459,1.9879,666
6.341,2.072,666
6.251,2.198,666
6.185,2.2616,666
6.417,2.185,666
6.749,2.3236,666
6.655,2.3552,666
6.297,2.3682,666
7.393,2.4527,666
6.728,2.4961,666
6.525,2.4358,666
5.976,2.5806,666
5.936,2.7792,666
6.301,2.7831,666
6.081,2.7175,666
6.701,2.5975,666
6.376,2.5671,666
6.317,2.7344,666
6.513,2.8016,666
6.209,2.9634,666
5.759,3.0665,666
5.952,2.8715,666
6.003,2.5403,666
5.926,2.9084,666
5.713,2.8237,666
6.167,3.0334,666
6.229,3.0993,666
6.437,2.8965,666
6.98,2.5329,666
5.427,2.4298,666
6.162,2.206,666
6.484,2.3053,666
5.304,2.1007,666
6.185,2.1705,666
6.229,1.9512,666
6.242,3.4242,666
6.75,3.3317,666
7.061,3.4106,666
5.762,4.0983,666
5.871,3.724,666
6.312,3.9917,666
6.114,3.5459,666
5.905,3.1523,666
5.454,1.8209,711
5.414,1.7554,711
5.093,1.8226,711
5.983,1.8681,711
5.983,2.1099,711
5.707,2.3817,391
5.926,2.3817,391
5.67,2.7986,391
5.39,2.7986,391
5.794,2.8927,391
6.019,2.4091,391
5.569,2.3999,391
6.027,2.4982,391
6.593,2.4786,273
6.12,2.2875,273
6.976,2.1675,273
6.794,2.3889,273
6.03,2.505,273
