RM,DIS,TAX
6.826,4.8628,254
6.482,4.1403,254
6.812,4.1007,216
7.82,4.6947,216
6.968,5.2447,216
7.645,5.2119,216
7.923,5.885,198
7.088,7.3073,285
6.453,7.3073,300
6.23,9.0892,241
6.209,7.3172,293
6.315,7.3172,293
6.565,7.3172,293
6.861,5.1167,245
7.148,5.1167,245
6.63,5.1167,245
6.127,5.5027,289
6.009,5.5027,289
6.678,5.9604,289
6.549,5.9604,289
5.79,6.32,289
6.345,7.8278,358
7.041,7.8278,358
6.871,7.8278,358
6.59,5.4917,329
6.495,5.4917,329
6.982,5.4917,329
7.236,4.022,222
6.616,3.37,222
7.42,3.0992,222
6.849,3.1827,222
6.635,3.3175,304
5.972,3.1025,304
4.973,2.5194,304
6.122,2.6403,304
6.023,2.834,304
6.266,3.2628,304
6.567,3.6023,304
5.705,3.945,304
5.914,3.9986,304
5.782,4.0317,304
6.382,3.5325,304
6.113,4.0019,304
6.426,4.5404,287
6.376,4.5404,287
6.041,4.7211,287
5.708,4.7211,287
6.415,4.7211,287
6.431,5.4159,287
6.312,5.4159,287
6.083,5.4159,287
5.868,5.2146,430
6.333,5.2146,430
6.144,5.8736,430
5.706,6.6407,304
6.031,6.6407,304
6.316,6.4584,224
6.31,6.4584,224
6.037,5.9853,224
5.869,5.2311,224
5.895,5.615,224
6.059,4.8122,224
5.985,4.8122,224
5.968,4.8122,224
7.241,7.0379,284
6.54,6.2669,422
6.696,5.7321,370
6.874,6.4654,370
6.014,8.0136,352
5.898,8.0136,352
6.516,8.5353,351
6.635,8.344,280
6.939,8.7921,335
6.49,8.7921,335
6.579,10.7103,411
5.884,10.7103,411
